Country,ISO3,RW_Single_Count,RW_Single_Count_Cluster,RW_Collab_Count,RW_Collab_Count_Cluster,RW_Total_Count,RW_Total_Count_Cluster,WoS_Total_Publications,WoS_Total_Publications_Cluster,RR_Single_%,RR_Single_%_Cluster,RR_Collab_%,RR_Collab_%_Cluster,RR_Total_%,RR_Total_%_Cluster,Collaboration_Share_%,Collaboration_Share_%_Cluster,Total_Mean_RD_Years,Total_Mean_RD_Years_Cluster,Total_RD_?1_%,Total_RD_?1_%_Cluster,Total_RD_1_2_%,Total_RD_1_2_%_Cluster,Total_RD_2_3_%,Total_RD_2_3_%_Cluster,Total_RD_3_4_%,Total_RD_3_4_%_Cluster,Total_RD_4_5_%,Total_RD_4_5_%_Cluster,Total_RD_>5_%,Total_RD_>5_%_Cluster,Total_Slope13,Total_Slope13_Cluster,Single_Mean_RD_Years,Single_Mean_RD_Years_Cluster,Single_RD_?1_%,Single_RD_?1_%_Cluster,Single_RD_1_2_%,Single_RD_1_2_%_Cluster,Single_RD_2_3_%,Single_RD_2_3_%_Cluster,Single_RD_3_4_%,Single_RD_3_4_%_Cluster,Single_RD_4_5_%,Single_RD_4_5_%_Cluster,Single_RD_>5_%,Single_RD_>5_%_Cluster,Single_Slope13,Single_Slope13_Cluster,Collab_Mean_RD_Years,Collab_Mean_RD_Years_Cluster,Collab_RD_?1_%,Collab_RD_?1_%_Cluster,Collab_RD_1_2_%,Collab_RD_1_2_%_Cluster,Collab_RD_2_3_%,Collab_RD_2_3_%_Cluster,Collab_RD_3_4_%,Collab_RD_3_4_%_Cluster,Collab_RD_4_5_%,Collab_RD_4_5_%_Cluster,Collab_RD_>5_%,Collab_RD_>5_%_Cluster,Collab_Slope13,Collab_Slope13_Cluster,NRR_Total_RR,NRR_Total_RR_Cluster,NRR_Single_RR,NRR_Single_RR_Cluster,NRR_Collab_RR,NRR_Collab_RR_Cluster,NRD_Total,NRD_Total_Cluster,NRD_Single,NRD_Single_Cluster,NRD_Collab,NRD_Collab_Cluster,NRRDI_Total_RR,NRRDI_Total_RR_Cluster,NRRDI_Single_RR,NRRDI_Single_RR_Cluster,NRRDI_Collab_RR,NRRDI_Collab_RR_Cluster,NSlope13_Total,NSlope13_Total_Cluster,NSlope13_Single,NSlope13_Single_Cluster,NSlope13_Collab,NSlope13_Collab_Cluster,NRS13I_Total_RR,NRS13I_Total_RR_Cluster,NRS13I_Single_RR,NRS13I_Single_RR_Cluster,NRS13I_Collab_RR,NRS13I_Collab_RR_Cluster
Argentina,ARG,37,0.0,35,0.0,72,0.0,339633,0.0,0.010894112,1.0,0.010305241,0.0,0.021199353,0.0,48.61111111,0.0,3.992090653,0.0,36.11111111,0.0,15.27777778,0.0,12.5,0.0,5.555555556,0.0,6.944444444,2.0,23.61111111,0.0,11.80555556,0.0,3.656954696,0.0,32.43243243,1.0,18.91891892,0.0,5.405405405,3.0,10.81081081,2.0,10.81081081,0.0,21.62162162,0.0,13.51351351,0.0,4.346377237,0.0,40.0,0.0,11.42857143,0.0,20.0,0.0,0.0,3.0,2.857142857,0.0,25.71428571,1.0,10.0,0.0,0.9830442,0.0,0.980478358,1.0,0.98850945,0.0,0.455686691,0.0,0.661328077,0.0,0.084015598,0.0,0.719365445,0.0,0.820903218,0.0,0.536262524,0.0,0.361338798,0.0,0.324626302,0.0,0.454054054,0.0,0.672191499,0.0,0.65255233,0.0,0.721281752,0.0
Israel,ISR,87,0.0,72,0.0,159,0.0,719717,0.0,0.012088085,1.0,0.010003932,0.0,0.022092017,0.0,45.28301887,0.0,5.287719706,0.0,35.22012579,0.0,10.6918239,0.0,4.402515723,0.0,6.918238994,0.0,8.176100629,2.0,34.59119497,0.0,15.40880503,0.0,6.689513559,0.0,34.48275862,1.0,6.896551724,0.0,3.448275862,3.0,4.597701149,0.0,6.896551724,0.0,43.67816092,0.0,15.51724138,0.0,3.593885467,0.0,36.11111111,0.0,15.27777778,0.0,5.555555556,1.0,9.722222222,2.0,9.722222222,0.0,23.61111111,1.0,15.27777778,0.0,0.981043145,0.0,0.976675995,1.0,0.989306804,0.0,0.202655453,0.0,0.260944138,0.0,0.311058636,0.0,0.591849299,0.0,0.618810067,0.0,0.65018272,0.0,0.522475345,0.0,0.381044115,0.0,0.646146146,0.0,0.751759245,0.0,0.678860055,0.0,0.817726475,0.0
Croatia,HRV,26,0.0,27,0.0,53,0.0,139188,0.0,0.018679771,1.0,0.019398224,0.0,0.038077995,0.0,50.94339623,0.0,3.434866271,0.0,35.8490566,0.0,22.64150943,0.0,7.547169811,0.0,1.886792453,0.0,3.773584906,1.0,28.30188679,0.0,14.1509434,0.0,4.090243774,0.0,38.46153846,1.0,19.23076923,0.0,7.692307692,3.0,0.0,1.0,3.846153846,2.0,30.76923077,0.0,15.38461538,0.0,2.80376201,0.0,33.33333333,0.0,25.92592593,0.0,7.407407407,1.0,3.703703704,1.0,3.703703704,0.0,25.92592593,1.0,12.96296296,0.0,0.945207881,0.0,0.9556839,1.0,0.964446712,0.0,0.564510412,0.0,0.604121607,0.0,0.549455968,0.0,0.754859146,0.0,0.779902754,0.0,0.75695134,0.0,0.466224041,0.0,0.377309841,0.0,0.561895229,0.0,0.705715961,0.0,0.666496871,0.0,0.76317097,0.0
Indonesia,IDN,132,0.0,105,0.0,237,0.0,183922,0.0,0.071769554,3.0,0.057089418,2.0,0.128858973,2.0,44.30379747,0.0,1.441484215,0.0,56.96202532,0.0,19.83122363,0.0,11.39240506,0.0,4.641350211,0.0,3.797468354,1.0,3.375527426,0.0,22.78481013,0.0,1.094621783,0.0,71.96969697,0.0,14.39393939,0.0,6.060606061,3.0,2.272727273,0.0,3.787878788,2.0,1.515151515,0.0,32.95454545,0.0,1.877539846,0.0,38.0952381,0.0,26.66666667,0.0,18.0952381,0.0,7.619047619,2.0,3.80952381,0.0,5.714285714,0.0,10.0,0.0,0.741707025,2.0,0.786612487,3.0,0.864704596,2.0,0.953810055,0.0,0.99962883,0.0,0.828917222,0.0,0.84775854,0.0,0.893120659,0.0,0.846810909,0.0,0.852328718,0.0,0.872016252,0.0,0.454054054,0.0,0.797017872,0.0,0.82931437,0.0,0.659379325,0.0
Turkey,TUR,438,4.0,316,2.0,754,4.0,965312,0.0,0.045373931,3.0,0.03273553,0.0,0.078109461,2.0,41.90981432,0.0,2.056492682,0.0,35.94164456,0.0,29.70822281,0.0,15.1193634,1.0,6.763925729,0.0,3.846153846,1.0,8.620689655,0.0,10.41114058,0.0,2.17490991,0.0,43.83561644,1.0,22.60273973,0.0,13.01369863,0.0,5.02283105,0.0,3.196347032,2.0,12.32876712,0.0,15.4109589,0.0,1.892357411,0.0,25.0,0.0,39.55696203,0.0,18.03797468,0.0,9.17721519,2.0,4.746835443,0.0,3.481012658,0.0,3.481012658,1.0,0.855470606,2.0,0.87067283,3.0,0.929152232,0.0,0.83370133,0.0,0.857000101,0.0,0.824446442,0.0,0.844585968,0.0,0.863836466,0.0,0.876799337,0.0,0.298980858,0.0,0.37805158,0.0,0.216786407,0.0,0.577225732,0.0,0.624362205,0.0,0.572969319,0.0
Algeria,DZA,49,0.0,50,0.0,99,0.0,100351,0.0,0.048828612,3.0,0.049825114,2.0,0.098653725,2.0,50.50505051,0.0,1.984526995,0.0,43.43434343,0.0,24.24242424,0.0,12.12121212,0.0,6.060606061,0.0,3.03030303,1.0,11.11111111,0.0,15.65656566,0.0,1.829331322,0.0,51.02040816,1.0,20.40816327,0.0,12.24489796,0.0,2.040816327,0.0,2.040816327,2.0,12.24489796,0.0,19.3877551,0.0,2.136618754,0.0,36.0,0.0,28.0,0.0,12.0,1.0,10.0,2.0,4.0,0.0,10.0,0.0,12.0,0.0,0.809417176,2.0,0.859670944,3.0,0.883928108,2.0,0.847755945,0.0,0.902626294,0.0,0.750747513,0.0,0.82858656,0.0,0.881148619,0.0,0.81733781,0.0,0.533555147,0.0,0.490023943,0.0,0.526846847,0.0,0.671486162,0.0,0.674847443,0.0,0.705387477,0.0
United States,USA,4153,3.0,3018,1.0,7171,2.0,25205297,1.0,0.016476695,1.0,0.011973674,0.0,0.028450369,0.0,42.08618045,0.0,4.109581227,0.0,33.14739925,0.0,14.02872682,0.0,9.468693348,0.0,7.307209594,0.0,5.299121461,1.0,30.74884953,0.0,11.83935295,0.0,4.280341285,0.0,33.95136046,1.0,12.73777992,0.0,8.861064291,0.0,7.320009632,0.0,5.369612328,0.0,31.76017337,0.0,12.54514809,0.0,3.874602261,0.0,32.04108681,0.0,15.80516899,0.0,10.30483764,1.0,7.289595759,2.0,5.20212061,0.0,29.35719019,1.0,10.86812459,0.0,0.966789827,0.0,0.962699886,1.0,0.984094282,0.0,0.432741245,0.0,0.579023334,0.0,0.22636031,0.0,0.699765536,0.0,0.77086161,0.0,0.605227296,0.0,0.36285021,0.0,0.297360594,0.0,0.485650661,0.0,0.664820019,0.0,0.63003024,0.0,0.734872471,0.0
Taiwan,TWN,394,4.0,320,2.0,714,4.0,928577,0.0,0.042430515,3.0,0.034461332,0.0,0.076891846,2.0,44.81792717,0.0,2.147111548,0.0,40.05602241,0.0,23.80952381,0.0,12.88515406,0.0,8.543417367,0.0,3.50140056,1.0,11.20448179,0.0,13.58543417,0.0,2.076896083,0.0,50.25380711,1.0,16.24365482,0.0,9.390862944,0.0,7.360406091,0.0,2.538071066,2.0,14.21319797,0.0,20.43147208,0.0,2.233564339,0.0,27.5,0.0,33.125,0.0,17.1875,0.0,10.0,2.0,4.6875,0.0,7.5,0.0,5.15625,1.0,0.858200094,2.0,0.880046527,3.0,0.924585247,0.0,0.816003824,0.0,0.869940711,0.0,0.721496934,0.0,0.837101959,0.0,0.874993619,0.0,0.82304109,0.0,0.44093459,0.0,0.519411281,0.0,0.277759009,0.0,0.649567342,0.0,0.699728904,0.0,0.601172128,0.0
Serbia,SRB,80,0.0,78,0.0,158,0.0,186408,0.0,0.042916613,3.0,0.041843698,2.0,0.084760311,2.0,49.36708861,0.0,3.076755127,0.0,27.21518987,0.0,22.78481013,0.0,16.4556962,1.0,9.493670886,0.0,6.962025316,2.0,17.08860759,0.0,5.379746835,0.0,3.025256674,0.0,35.0,1.0,25.0,0.0,12.5,0.0,5.0,0.0,2.5,2.0,20.0,0.0,11.25,0.0,3.129574054,0.0,19.23076923,0.0,20.51282051,0.0,20.51282051,0.0,14.1025641,0.0,11.53846154,0.0,14.1025641,1.0,-0.641025641,1.0,0.840561606,2.0,0.878498483,3.0,0.90504931,2.0,0.634448104,0.0,0.744730166,0.0,0.451151429,0.0,0.737504855,0.0,0.811614324,0.0,0.678100369,0.0,0.073978004,0.0,0.260893855,0.0,0.066759067,0.0,0.457269805,0.0,0.569696169,0.0,0.485904188,0.0
South Korea,KOR,804,4.0,639,2.0,1443,4.0,1704758,2.0,0.047162119,3.0,0.037483326,0.0,0.084645445,2.0,44.28274428,0.0,2.616470838,0.0,33.33333333,0.0,29.24462924,0.0,12.54331254,0.0,6.098406098,0.0,4.435204435,1.0,14.34511435,0.0,10.3950104,0.0,2.940846759,0.0,38.1840796,1.0,20.52238806,0.0,11.69154229,0.0,6.218905473,0.0,4.60199005,2.0,18.78109453,0.0,13.24626866,0.0,2.208335877,0.0,27.23004695,0.0,40.21909233,0.0,13.61502347,1.0,5.946791862,1.0,4.225352113,0.0,8.763693271,0.0,6.807511737,1.0,0.840819096,2.0,0.864978109,3.0,0.916588151,0.0,0.724339808,0.0,0.755874673,0.0,0.729108906,0.0,0.782579452,0.0,0.810426391,0.0,0.822848528,0.0,0.298259519,0.0,0.317101643,0.0,0.337858986,0.0,0.569539308,0.0,0.591039876,0.0,0.627223568,0.0
