Country,ISO3,RW_Single_Count,RW_Collab_Count,RW_Total_Count,WoS_Total_Publications,RR_Single_%,RR_Collab_%,RR_Total_%,CI_RR_Total_Lower_%,CI_RR_Total_Upper_%,Collaboration_Share_%,CI_Collab_Share_Lower_%,CI_Collab_Share_Upper_%,Total_Mean_RD_Years,Total_RD_≤1_%,Total_RD_1_2_%,Total_RD_2_3_%,Total_RD_3_4_%,Total_RD_4_5_%,Total_RD_>5_%,Total_Slope13,Total_Valid_RD_Count,Total_RD_Flag_<5,Single_Mean_RD_Years,Single_RD_≤1_%,Single_RD_1_2_%,Single_RD_2_3_%,Single_RD_3_4_%,Single_RD_4_5_%,Single_RD_>5_%,Single_Slope13,Single_Valid_RD_Count,Single_RD_Flag_<5,Collab_Mean_RD_Years,Collab_RD_≤1_%,Collab_RD_1_2_%,Collab_RD_2_3_%,Collab_RD_3_4_%,Collab_RD_4_5_%,Collab_RD_>5_%,Collab_Slope13,Collab_Valid_RD_Count,Collab_RD_Flag_<5,NRR_Total_RR,NRR_Single_RR,NRR_Collab_RR,NRD_Total,NRD_Single,NRD_Collab,NRRDI_Total_RR,NRRDI_Single_RR,NRRDI_Collab_RR,NSlope13_Total,NSlope13_Single,NSlope13_Collab,NRS13I_Total_RR,NRS13I_Single_RR,NRS13I_Collab_RR
Argentina,ARG,37,35,72,339633.0,0.0108941121740231,0.0103052412456975,0.0211993534197206,0.0168358787102716,0.0266934390467569,48.61111111111111,37.43248074300839,59.93044408980104,3.9920906532816183,36.11111111111111,15.27777777777778,12.5,5.555555555555555,6.944444444444445,23.61111111111111,11.805555555555554,72,False,3.65695469596907,32.432432432432435,18.91891891891892,5.405405405405405,10.81081081081081,10.81081081081081,21.62162162162162,13.513513513513516,37,False,4.346377236726313,40.0,11.428571428571429,20.0,0.0,2.857142857142857,25.71428571428571,10.0,35,False,0.9830442001599756,0.9804783581382427,0.9885094501489908,0.45568669052444544,0.6613280774257073,0.08401559843311113,0.7193654453422105,0.8209032177819751,0.536262524291051,0.36133879781420764,0.3246263022799336,0.4540540540540541,0.6721914989870916,0.6525523302090881,0.7212817521015225
Israel,ISR,87,72,159,719717.0,0.01208808462215,0.0100039321010897,0.0220920167232398,0.0189148799690672,0.0258026801455626,45.28301886792453,37.748053544097445,53.04054101650624,5.287719706068471,35.22012578616352,10.69182389937107,4.40251572327044,6.918238993710692,8.176100628930817,34.59119496855346,15.40880503144654,159,False,6.6895135594420445,34.48275862068966,6.896551724137931,3.4482758620689653,4.597701149425287,6.896551724137931,43.67816091954023,15.517241379310349,87,False,3.5938854665754056,36.11111111111111,15.27777777777778,5.555555555555555,9.722222222222223,9.722222222222223,23.61111111111111,15.277777777777777,72,False,0.9810431449722565,0.9766759954818022,0.9893068038034221,0.20265545317431877,0.2609441377018531,0.3110586362056491,0.5918492990732876,0.6188100665918277,0.6501827200045356,0.5224753450967135,0.3810441148141014,0.6461461461461462,0.751759245034485,0.6788600551479518,0.8177264749747841
Croatia,HRV,26,27,53,139188.0,0.0186797712446475,0.0193982239848262,0.0380779952294738,0.029115050537263,0.0497987699405601,50.943396226415096,37.88330425329779,63.87597064396054,3.434866271486316,35.84905660377358,22.641509433962263,7.547169811320755,1.8867924528301887,3.7735849056603774,28.30188679245283,14.150943396226412,53,False,4.090243774022008,38.46153846153847,19.230769230769237,7.6923076923076925,0.0,3.8461538461538463,30.76923076923077,15.384615384615389,26,False,2.8037620097852813,33.33333333333333,25.925925925925924,7.4074074074074066,3.7037037037037033,3.7037037037037033,25.925925925925924,12.962962962962962,27,False,0.9452078808871803,0.955683900483577,0.9644467121057713,0.5645104117153597,0.6041216072728162,0.5494559675266184,0.7548591463012699,0.7799027538781966,0.7569513398161949,0.46622404131809314,0.3773098409969919,0.5618952285618952,0.7057159611026367,0.6664968707402844,0.7631709703338332
Indonesia,IDN,132,105,237,183922.0,0.0717695544850534,0.0570894183403834,0.1288589728254368,0.1134725356343706,0.146328695037285,44.303797468354425,38.12030047365758,50.66901167175253,1.4414842154815644,56.9620253164557,19.831223628691983,11.39240506329114,4.641350210970464,3.79746835443038,3.375527426160337,22.78481012658228,237,False,1.0946217825067928,71.96969696969697,14.393939393939394,6.0606060606060606,2.272727272727273,3.787878787878788,1.5151515151515151,32.95454545454545,132,False,1.8775398455069916,38.095238095238095,26.666666666666668,18.09523809523809,7.6190476190476195,3.8095238095238098,5.714285714285714,10.0,105,False,0.7417070251351165,0.786612487195497,0.8647045964179159,0.9538100550488436,0.9996288303420804,0.8289172216846871,0.84775854009198,0.8931206587687888,0.8468109090513014,0.8523287182036223,0.8720162519045199,0.4540540540540541,0.7970178716693694,0.8293143695500085,0.659379325235985
Turkey,TUR,438,316,754,965312.0,0.0453739309156003,0.0327355300669628,0.0781094609825631,0.0727314062292509,0.0838848570544987,41.90981432360743,38.43760175469272,45.46404734981671,2.056492682422017,35.94164456233422,29.708222811671085,15.119363395225465,6.763925729442971,3.8461538461538463,8.620689655172415,10.411140583554378,754,False,2.174909910332261,43.83561643835616,22.602739726027394,13.013698630136986,5.0228310502283104,3.1963470319634704,12.32876712328767,15.410958904109588,438,False,1.8923574108249075,25.0,39.55696202531646,18.037974683544306,9.17721518987342,4.746835443037975,3.481012658227848,3.481012658227849,316,False,0.8554706060362718,0.870672830054668,0.929152231552579,0.8337013302282464,0.8570001012296893,0.8244464418361607,0.8445859681322592,0.8638364656421786,0.8767993366943698,0.2989808579683297,0.37805158031682856,0.21678640665982443,0.5772257320023008,0.6243622051857483,0.5729693191062017
Algeria,DZA,49,50,99,100351.0,0.0488286115733774,0.0498251138503851,0.0986537254237625,0.0810466695051517,0.1200812449850247,50.505050505050505,40.82299868548984,60.149370472516274,1.984526994793935,43.43434343434344,24.24242424242424,12.12121212121212,6.0606060606060606,3.0303030303030303,11.11111111111111,15.65656565656566,99,False,1.829331321851123,51.02040816326531,20.40816326530612,12.244897959183673,2.0408163265306123,2.0408163265306123,12.244897959183673,19.387755102040817,49,False,2.136618754277892,36.0,28.000000000000004,12.0,10.0,4.0,10.0,12.0,50,False,0.8094171760634413,0.8596709440868077,0.8839281076709199,0.8477559448172896,0.9026262944775354,0.7507475129869519,0.8285865604403655,0.8811486192821716,0.8173378103289359,0.5335551473561388,0.490023942537909,0.5268468468468469,0.67148616170979,0.6748474433123584,0.7053874772588834
United States,USA,4153,3018,7171,25205297.0,0.0164766953549486,0.0119736736289994,0.028450368983948,0.0277995374718539,0.029116433062102,42.08618044903082,40.94802937980948,43.23280605494074,4.109581227376866,33.147399246966955,14.028726816343609,9.46869334820806,7.307209594198856,5.299121461441919,30.748849532840605,11.839352949379448,7171,False,4.280341285329639,33.9513604623164,12.73777991813147,8.861064290874067,7.320009631591619,5.369612328437275,31.76017336864917,12.545148085721166,4153,False,3.874602260949476,32.04108681245858,15.805168986083498,10.304837640821736,7.289595758780649,5.202120609675282,29.357190192180248,10.86812458581842,3018,False,0.9667898271462901,0.9626998860747331,0.9840942816026503,0.43274124539387215,0.5790233341854198,0.22636030955727082,0.6997655362700812,0.7708616101300765,0.6052272955799606,0.3628502100504039,0.2973605941454451,0.4856506606009587,0.664820018598347,0.6300302401100891,0.7348724711018045
Taiwan,TWN,394,320,714,928577.0,0.0424305146476813,0.0344613316935483,0.0768918463412296,0.0714566743866585,0.0827400886579948,44.81792717086835,41.20752072648231,48.48379836118272,2.147111548246951,40.05602240896359,23.809523809523807,12.885154061624648,8.543417366946779,3.5014005602240896,11.204481792717088,13.58543417366947,714,False,2.0768960832751366,50.25380710659898,16.243654822335024,9.390862944162436,7.3604060913705585,2.538071065989848,14.213197969543147,20.43147208121827,394,False,2.2335643394934976,27.500000000000004,33.125,17.1875,10.0,4.6875,7.5,5.156250000000002,320,False,0.8582000943943993,0.880046527175613,0.9245852469176704,0.8160038236019262,0.8699407114507227,0.721496933726034,0.8371019589981628,0.8749936193131679,0.8230410903218521,0.44093458961930193,0.519411280946034,0.2777590090090091,0.6495673420068506,0.6997289040608234,0.6011721279633397
Serbia,SRB,80,78,158,186408.0,0.0429166130209003,0.0418436976953778,0.0847603107162782,0.0725381117499259,0.0990398294660145,49.36708860759494,41.67934023694563,57.08488354729773,3.076755126972162,27.21518987341772,22.78481012658228,16.455696202531644,9.49367088607595,6.962025316455696,17.088607594936708,5.379746835443038,158,False,3.0252566735112936,35.0,25.0,12.5,5.0,2.5,20.0,11.25,80,False,3.129574053598695,19.230769230769237,20.51282051282051,20.51282051282051,14.102564102564102,11.538461538461538,14.102564102564102,-0.6410256410256387,78,False,0.8405616058455799,0.8784984828261944,0.9050493097738797,0.6344481039972518,0.744730166003061,0.4511514290524742,0.7375048549214158,0.8116143244146277,0.6781003694131769,0.0739780037352148,0.2608938547486033,0.06675906675906687,0.45726980479039736,0.5696961687873988,0.48590418826647325
South Korea,KOR,804,639,1443,1704758.0,0.0471621191981501,0.0374833260791267,0.0846454452772768,0.0803908965497715,0.0891249577755309,44.28274428274428,41.73836438760157,46.85748466733299,2.616470838236752,33.33333333333333,29.244629244629245,12.543312543312544,6.098406098406098,4.435204435204435,14.345114345114348,10.395010395010392,1443,False,2.940846758677522,38.18407960199005,20.52238805970149,11.691542288557214,6.218905472636816,4.601990049751244,18.781094527363184,13.246268656716415,804,False,2.20833587730658,27.230046948356808,40.21909233176839,13.615023474178404,5.94679186228482,4.225352112676056,8.763693270735525,6.807511737089202,639,False,0.8408190960792404,0.864978108741024,0.9165881505462743,0.7243398078464582,0.7558746732573063,0.7291089062690674,0.7825794519628493,0.8104263909991651,0.8228485284076709,0.29825951938037326,0.3171016426248644,0.3378589857463097,0.5695393077298069,0.5910398756829442,0.627223568146292
